question_id,workstream_code,workstream,capability,stage,question,answer_type,options,weight,criticality,hard_gate_candidate,expert_validation_candidate,evidence_expected,methodology_status,source_type
RQ-001,STR,Commercial Strategy & TPP,Commercial North Star,L-24_to_L+12,Has leadership documented the U.S. commercial North Star and measurable launch/L+12 outcomes?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,false,false,Commercial North Star supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-002,STR,Commercial Strategy & TPP,TPP,L-24_to_L+12,"Is there a current Target Product Profile used consistently across commercial, medical, market access, and finance?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,false,false,TPP supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-003,STR,Commercial Strategy & TPP,Launch objectives,L-24_to_L+12,Are launch objectives defined as customer/business outcomes rather than activity only?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Launch objectives supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-004,STR,Commercial Strategy & TPP,Indication scope,L-24_to_L+12,"Is initial U.S. indication strategy explicit, including what is out of scope?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Indication scope supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-005,STR,Commercial Strategy & TPP,Success metrics,L-24_to_L+12,"Are Year 1 success metrics defined across adoption, access, patient flow, field, and economics?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Success metrics supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-006,STR,Commercial Strategy & TPP,Assumption register,L-24_to_L+12,"Are critical commercial assumptions documented with owner, evidence, confidence, and review date?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,false,false,Assumption register supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-007,STR,Commercial Strategy & TPP,Cross-functional alignment,L-24_to_L+12,Are U.S./global leadership and functions aligned on commercial strategy?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Cross-functional alignment supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-008,STR,Commercial Strategy & TPP,Scenario planning,L-24_to_L+12,Are base/downside/upside commercialization scenarios documented?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Scenario planning supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-009,STR,Commercial Strategy & TPP,Capability reuse,L-24_to_L+12,Has leadership considered which capabilities should be reusable for future assets?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Capability reuse supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-010,STR,Commercial Strategy & TPP,Launch archetype,L-24_to_L+12,Has the launch been classified into a meaningful archetype?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Launch archetype supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-011,STR,Commercial Strategy & TPP,Strategic tradeoffs,L-24_to_L+12,Are speed/ownership/fixed-variable-cost tradeoffs explicit?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Strategic tradeoffs supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-012,STR,Commercial Strategy & TPP,Board alignment,L-24_to_L+12,Has governance reviewed launch investment and downside case?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Board alignment supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
